aX,aY,aZ,gX,gY,gZ,target
-4437,-173,9373,-37,163,226,5
-4427,297,9634,-91,282,271,5
-4776,491,8982,-244,442,288,5
-8825,-2252,-2441,-65,232,362,5
-5371,-951,9175,471,-372,185,5
-5371,-951,9175,616,-329,148,5
-4710,124,8435,616,-329,148,5
-4882,-479,8650,402,-493,254,5
-5046,543,9647,309,-450,180,5
-5071,610,9415,282,-265,93,5
-5125,771,9223,278,-161,9,5
-4999,582,9328,259,-119,-69,5
-4856,180,9208,220,-60,-102,5
-4803,148,8941,186,-38,-95,5
-4682,56,8823,160,-89,-62,5
-4682,56,8823,160,-89,-62,5
-4484,98,8518,133,-163,-13,5
-4916,183,8695,100,-240,25,5
-4968,425,9207,43,-284,36,5
-5052,547,9640,-48,-246,3,5
-4957,476,9856,-176,-158,-47,5
-4800,273,9600,-288,-80,-79,5
-4889,197,9211,-337,-36,-86,5
-5076,151,8915,-317,-32,-81,5
-5162,217,8897,-248,-43,-98,5
-5162,217,8897,-248,-43,-143,5
-4999,214,9036,-169,-10,-143,5
-4980,-25,9114,-79,78,-156,5
-4563,356,9097,-32,137,-142,5
-5051,-193,8199,-15,161,-131,5
-4845,-283,8203,30,81,-92,5
-4920,-222,8132,102,-7,-61,5
-4832,-59,8712,158,-113,-50,5
-5078,80,9534,173,-135,-66,5
-4894,212,9247,104,-100,-88,5
-4894,212,9247,56,4,-112,5
-4834,179,8940,56,4,-112,5
-4667,88,8801,42,75,-117,5
-4465,-16,8669,20,108,-81,5
-4470,-119,8630,4,91,-28,5
-5162,217,8897,-248,-43,-98,5
-5162,217,8897,-248,-43,-143,5
-4999,214,9036,-169,-10,-143,5
-4980,-25,9114,-79,78,-156,5
-4563,356,9097,-32,137,-142,5
-5051,-193,8199,-15,161,-131,5
-4845,-283,8203,30,81,-92,5
-4920,-222,8132,102,-7,-61,5
-4832,-59,8712,158,-113,-50,5
-5078,80,9534,173,-135,-66,5
-4894,212,9247,104,-100,-88,5
-4894,212,9247,56,4,-112,5
-4834,179,8940,56,4,-112,5
-4667,88,8801,42,75,-117,5
-4465,-16,8669,20,108,-81,5
-4470,-119,8630,4,91,-28,5
-4567,-45,8519,-3,61,17,5
-4719,70,8402,-2,31,41,5
-4804,111,8407,-5,1,46,5
-4795,193,8662,-14,-23,37,5
-4738,110,8818,-28,-9,38,5
-4738,110,8818,-23,40,45,5
-4802,-141,8852,-23,40,45,5
-4688,-235,8819,15,83,57,5
-4733,-220,8561,60,107,72,5
-4826,-107,8433,108,98,67,5
-4977,161,8478,120,61,29,5
-4791,217,8511,114,18,3,5
-5066,105,8507,127,0,-37,5
-4778,64,8626,139,-6,-45,5
-4808,105,8800,147,10,-50,5
-4808,105,8891,132,45,-28,5
-4881,88,8891,132,45,-28,5
-4960,33,8776,97,81,-31,5
-4969,-63,8688,98,115,-21,5
-4935,52,8727,108,132,-17,5
-5099,161,8593,126,122,-27,5
-4918,386,8622,112,70,-50,5
-5082,238,8604,91,27,-90,5
-4771,239,8782,70,-23,-84,5
-4734,116,8864,60,-51,-56,5
-4912,173,8799,65,-50,-17,5
-4912,173,8799,65,-50,-17,5
-4978,203,8707,54,-36,-1,5
-4948,203,8647,31,-18,2,5
-4959,78,8517,19,-12,14,5
-4993,19,8569,25,-18,29,5
-5029,-56,8695,36,-14,41,5
-4998,35,8867,48,5,47,5
-4999,126,8706,31,24,49,5
-4978,22,8666,37,32,40,5
-5009,189,8626,51,28,52,5
-5009,189,8626,51,28,52,5
-4999,258,8556,68,20,47,5
-4932,334,8568,63,-4,48,5
-5063,388,8541,40,-45,49,5
-5182,362,8630,9,-75,32,5
-5166,358,8744,-21,-89,7,5
-4983,233,8809,-44,-65,-9,5
-4955,162,8805,-50,-30,-6,5
-4973,163,8684,-48,-16,10,5
-5015,92,8640,-24,-13,25,5
-5015,92,8640,-24,-13,25,5
-5029,174,8681,7,-4,28,5
-5012,254,8645,20,1,23,5
-5070,357,8554,21,-28,6,5
-5075,342,8590,20,-75,-20,5
-4969,259,8775,9,-98,-45,5
-4998,145,8888,-11,-81,-53,5
-4957,-43,8902,-29,-50,-50,5
-4753,-88,8852,-45,-29,-25,5
-4796,33,8840,-62,-17,19,5
-4796,33,8840,-62,-17,19,5
-4975,-35,8656,-69,-9,48,5
-4931,-7,8700,-46,5,66,5
-5041,98,8705,-5,28,65,5
-4995,277,8494,21,21,59,5
-5156,373,8475,32,-18,34,5
-5100,343,8648,32,-57,0,5
-4953,227,8761,19,-68,-19,5
-4938,154,8863,7,-45,-23,5
-4996,137,8845,1,-14,-21,5
-4996,137,8845,1,-14,-21,5
-4943,88,8810,-10,-5,-18,5
-4805,105,8857,-29,-8,-12,5
-4847,-33,8776,-47,-12,5,5
-4796,-168,8724,-39,-18,28,5
-4776,-118,8841,-23,-14,56,5
-4835,-3,8839,-18,-3,80,5
-4863,63,8688,-29,5,94,5
-4930,117,8541,-28,4,92,5
-4986,281,8516,-4,1,75,5
-4986,281,8516,-4,-21,48,5
-5052,458,8517,7,-21,48,5
-5012,513,8581,-7,-52,12,5
-4945,346,8519,-17,-69,-8,5
-4880,251,8608,-6,-73,-16,5
-4871,221,8806,1,-53,-14,5
-4831,186,8853,-10,-32,-3,5
-4792,112,8781,-32,-19,8,5
-4772,22,8636,-37,-6,21,5
-4840,7,8567,-17,-7,39,5
-4881,58,8715,-4,-64,48,5
-4881,58,8715,-4,-64,48,5
-4917,-74,8260,-105,18,12,5
-5175,-363,8086,-70,-9,6,5
-4855,-277,8435,-50,-15,14,5
-4768,-333,8537,-49,-2,47,5
-4809,-339,8672,-54,21,95,5
-4564,-321,8651,-77,45,173,5
-4865,-144,8622,-98,80,207,5
-4865,-144,8622,-98,80,207,5
-4823,117,8723,-127,108,222,5
-4832,508,8935,-169,131,202,5
-4906,644,9053,-251,145,177,5
-5125,415,9099,-335,161,146,5
-5247,-23,8906,-399,199,117,5
-5245,-342,8840,-421,244,116,5
-4372,-3480,-3678,-369,208,142,5
-5416,-635,8224,-110,-331,169,5
-5280,-214,9243,301,-419,176,5
-5280,-214,9243,301,-419,176,5
-4889,8,8647,128,-444,192,5
-4926,-163,9069,-32,-516,167,5
-5219,-492,8945,43,-406,135,5
-4833,-229,9014,164,-271,153,5
-4832,-74,9297,203,-233,174,5
-4947,-23,9297,169,-196,183,5
-4898,130,9498,134,-134,161,5
-5064,269,9663,100,-50,137,5
-5344,324,9288,88,30,73,5
-5344,324,9288,88,30,73,5
-5267,655,9367,73,72,-8,5
-5187,1001,10090,6,120,-109,5
-5161,844,10348,-147,224,-200,5
-4784,351,9556,-334,322,-256,5
-4937,-56,8400,-409,376,-248,5
-4979,-25,7374,-383,367,-207,5
-5338,-866,6630,-236,181,-137,5
-5149,-795,7529,14,-40,-83,5
-4950,-527,8449,142,-126,-35,5
-4950,-527,8449,142,-149,0,5
-4932,-234,8785,114,-149,0,5
-4983,-133,8549,30,-152,6,5
-5003,-195,8331,35,-40,3,5
-4974,-155,8328,81,35,3,5
-5002,-28,8336,108,66,-9,5
-4867,9,8342,102,48,-27,5
-4840,-31,8355,45,-21,-26,5
-4989,-189,8228,3,-90,-13,5
-4819,-440,8422,4,-131,6,5
-4819,-440,8422,20,-91,61,5
-4554,-484,9048,20,-91,61,5
-4275,-573,9988,16,50,141,5
-3674,434,10715,-86,310,254,5
-9771,43,-11673,-599,261,362,5
-6223,-1319,6863,-296,-525,109,5
-4768,-1197,8477,371,-644,-106,5
-4070,-1792,9110,623,-478,36,5
-4756,-622,9720,707,-328,193,5
-5142,-26,9676,645,-216,199,5
-5142,-26,9676,516,-187,178,5
-4853,86,9445,516,-187,178,5
-4914,279,9276,340,-222,178,5
-4979,305,9231,194,-243,182,5
-5099,305,9213,127,-220,162,5
-5125,669,9261,94,-203,128,5
-4967,824,9316,37,-215,73,5
-4681,588,9269,-7,-192,18,5
-4668,270,9093,-20,-133,7,5
-4770,288,9032,5,-81,23,5
-4674,390,9059,-10,-67,51,5
-4674,390,9059,-10,-67,51,5
-4673,454,9101,-199,-110,66,5
-4673,454,9101,-199,-110,66,5
-4855,396,8970,-275,-116,55,5
-4998,332,8845,-292,-112,28,5
-5020,165,8569,-257,-111,-12,5
-5099,317,8498,-190,-116,-63,5
-4819,321,8890,-142,-118,-106,5
-5335,343,8829,-126,-100,-158,5
-5211,399,8849,-129,-80,-237,5
-5211,399,8849,-129,-80,-237,5
-4792,256,8807,-131,-61,-302,5
-4293,177,8925,-85,-3,-334,5
-4869,174,9038,-61,72,-324,5
-5197,-248,8365,-31,43,-318,5
-5016,-703,8246,91,-50,-332,5
-4668,-547,8624,272,-91,-340,5
-4537,-270,8775,364,-109,-330,5
-4503,55,8912,314,-158,-301,5
-4652,-253,9011,232,-243,-268,5
-4652,-253,9011,232,-243,-268,5
-4151,-329,9399,150,-284,-196,5
-4095,-378,9071,108,-165,-106,5
-4380,-107,8900,111,-45,-39,5
-4713,250,8721,112,0,-20,5
-4857,291,8902,108,-31,-44,5
-4572,232,9105,89,-65,-83,5
-4467,-7,9163,52,-46,-102,5
-4539,-195,8992,39,7,-97,5
-4454,-163,8853,-27,-12,1,5
-4454,-163,8853,-27,-12,1,5
-4584,-251,8787,-28,-17,26,5
-4683,-409,8658,21,11,30,5
-4581,-206,8646,58,24,42,5
-4649,-71,8701,83,7,55,5
-4621,-98,8684,93,-23,77,5
-4362,-887,8878,92,-436,607,5
-4460,-305,9446,1,-488,671,5
-5146,357,9493,30,-383,614,5
-5249,577,8980,83,-219,478,5
-6829,131,7623,197,-248,323,5
-5216,2036,9002,252,-389,102,5
-4855,1350,9284,142,-439,-97,5
-4855,1350,9284,142,-439,-97,5
-5230,790,9641,58,-482,-190,5
-4746,393,10127,14,-395,-226,5
-4828,177,9809,-20,-230,-208,5
-4895,397,9537,-34,-98,-188,5
-5099,665,9456,-37,-4,-205,5
