aX,aY,aZ,gX,gY,gZ,target
-2333,3978,8656,301,54,370,3
-2364,3833,8654,360,57,299,3
-2465,3866,8854,438,60,218,3
-2539,4261,9224,487,59,139,3
-2970,4888,9516,450,41,17,3
-3160,5477,9644,320,7,-182,3
-2190,3491,9327,-199,-72,-889,3
-2190,3491,9327,-199,-72,-889,3
-1919,2839,9209,-147,-73,-894,3
-1995,2608,9159,-57,-76,-845,3
-2268,3059,9498,42,-93,-780,3
-2685,3720,9775,105,-69,-784,3
-2685,3720,9775,105,-69,-784,3
-2868,4095,9748,111,-31,-874,3
-2994,4415,9934,78,-17,-1007,3
-3081,4795,10244,40,20,-1165,3
-2184,4894,10753,-12,136,-1344,3
-3487,4621,9790,-109,274,-1521,3
-3085,4393,9553,-135,304,-1744,3
-2545,3550,9516,-194,351,-1943,3
-2276,2757,8994,-256,369,-2017,3
-2282,2291,8809,-318,312,-2015,3
-2282,2291,8809,-318,226,-1957,3
-2242,1897,8761,-376,226,-1957,3
-2316,1978,8798,-465,116,-1856,3
-2688,2440,8882,-545,-1,-1778,3
-3253,2880,9075,-642,-95,-1804,3
-3294,2864,9114,-717,-127,-1925,3
-3038,2656,9162,-755,-128,-2059,3
-2736,1890,9181,-796,-98,-2123,3
-2390,1558,9274,-797,-61,-2127,3
-2787,1020,8824,-729,-28,-2104,3
-2787,1020,8824,-633,-25,-2085,3
-2678,1143,9300,-633,-25,-2085,3
-2975,1398,9339,-582,-3,-2099,3
-3476,1146,9157,-521,36,-2173,3
-3470,766,8824,-448,29,-2260,3
-2847,165,8956,-348,3,-2307,3
-2586,-205,9273,-269,0,-2265,3
-2493,-336,9280,-233,15,-2156,3
-2688,-358,9223,-268,-3,-2030,3
-2863,-527,9095,-348,-47,-1924,3
-2863,-527,9095,-436,-96,-1843,3
-2801,-832,9136,-436,-96,-1843,3
-2614,-1168,9390,-499,-127,-1758,3
-2822,-1435,9704,-521,-131,-1646,3
-2991,-1365,9713,-486,-80,-1543,3
-3390,-1081,9542,-412,-16,-1486,3
-3377,-766,9352,-351,-6,-1480,3
-3260,-894,9437,-284,-23,-1495,3
-3011,-1152,9345,-220,-17,-1472,3
-2840,-1491,9327,-141,11,-1400,3
-2925,-1641,9200,-71,51,-1289,3
-2925,-1641,9200,-71,51,-1289,3
-3939,-709,9260,0,59,-370,3
-3698,-990,9278,37,75,-439,3
-3567,-1296,9256,37,73,-457,3
-3451,-1487,9410,21,62,-435,3
-3451,-1487,9410,21,62,-435,3
-3693,-1140,9711,-19,67,-416,3
-3851,-1152,9544,-78,85,-439,3
-3817,-1434,9335,-120,82,-488,3
-3476,-1965,9241,-118,81,-505,3
-3391,-2271,9023,-82,93,-459,3
-3501,-2475,8979,14,109,-393,3
-3296,-2525,9031,75,124,-320,3
-3314,-2697,8909,119,117,-240,3
-3205,-2918,8851,145,100,-160,3
-3205,-2918,8851,145,100,-160,3
-3099,-3251,8648,174,91,-67,3
-2732,-3605,8711,188,63,67,3
-2566,-3866,8705,166,14,263,3
-2597,-3950,8717,110,-36,487,3
-2495,-4144,8599,43,-87,737,3
-2333,-4286,8627,-10,-158,1038,3
-2204,-4462,8709,-67,-255,1405,3
-1855,-4411,8921,-134,-383,1820,3
-1591,-4473,9146,-145,-472,2295,3
-1591,-4473,9146,-145,-472,2295,3
-1625,-4170,9511,-72,-441,2797,3
-1444,-4083,9589,64,-323,3237,3
-809,-4124,9321,255,-205,3681,3
-437,-3500,8709,505,-116,4150,3
248,-2730,7953,789,-72,4564,3
180,-2051,7534,1056,-91,4955,3
252,-1033,7645,1207,-214,5277,3
116,66,8426,1204,-365,5504,3
-448,1458,9625,1084,-471,5603,3
-448,1458,9625,1084,-471,5603,3
-880,3101,10887,836,-452,5520,3
-1700,4248,11335,550,-331,5289,3
-2069,5132,11134,342,-177,4951,3
-2654,6295,10754,206,-31,4542,3
-3507,7780,10302,135,38,4064,3
-4325,8877,9576,78,45,3473,3
-4521,8909,9394,60,24,2779,3
-4591,8176,9200,92,51,2139,3
-4249,7479,8860,133,84,1596,3
-4249,7479,8860,133,84,1596,3
-3803,6625,8743,127,66,1155,3
-3428,5775,8823,86,36,832,3
-3175,5125,8987,53,31,604,3
-3062,4721,9135,50,65,436,3
-3037,4540,9056,53,116,302,3
-3154,4532,8965,42,133,175,3
-3383,5020,9261,31,124,9,3
-3384,5496,8970,-1,116,-180,3
-3460,5505,8487,-61,62,-390,3
-3460,5505,8487,-61,62,-613,3
-3402,5210,8508,-91,-44,-613,3
-3093,4512,8718,-51,-106,-800,3
-3025,3955,8891,52,-117,-940,3
-2725,3346,8924,121,-133,-1025,3
-2573,2835,9098,149,-167,-1054,3
-2559,2646,9300,157,-196,-1036,3
-2798,2792,9647,156,-202,-1015,3
-2965,3181,9960,164,-160,-1038,3
-3235,3651,10546,213,-59,-1122,3
-3235,3651,10546,260,114,-1265,3
-3512,4107,10883,260,114,-1265,3
-3584,4193,10644,251,310,-1470,3
-3375,3783,10107,172,437,-1681,3
-3065,3068,9535,29,441,-1820,3
-2841,2390,9086,-93,368,-1880,3
-2779,2208,8798,-177,274,-1879,3
-2529,2340,8694,-238,169,-1850,3
-2756,2274,9087,-273,94,-1804,3
-3434,2895,9454,-241,105,-1802,3
