-4327,-401,9373,64,-120,-8,4
-4327,-401,9373,64,-120,-8,4
-4262,-503,9403,74,-112,-17,4
-4194,-617,9463,77,-91,-15,4
-4122,-583,9504,80,-64,-3,4
-4131,-597,9369,85,-21,9,4
-4286,-495,9165,105,16,12,4
-4316,-421,9012,100,-14,4,4
-4195,-430,9163,75,-59,0,4
-4220,-413,9101,50,-48,-3,4
-4216,-447,9036,32,-25,-8,4
-4216,-447,9036,32,-25,-8,4
-4328,-349,8959,23,-16,-19,4
-4313,-435,8926,21,-28,-37,4
-4232,-454,8993,26,-44,-49,4
-4200,-506,9087,28,-44,-53,4
-4234,-558,9144,28,-27,-50,4
-4153,-582,9111,31,0,-47,4
-4267,-664,8919,32,0,-45,4
-4147,-684,9005,21,-39,-37,4
-4112,-720,9203,7,-54,-22,4
-4112,-720,9203,7,-54,-22,4
-4122,-585,9208,3,-40,-6,4
-4180,-503,9196,15,-18,-4,4
-4191,-374,9248,31,-9,-1,4
-4207,-290,9136,35,-13,-4,4
-4177,-291,9164,28,-26,-8,4
-4167,-287,9178,21,-22,-13,4
-4182,-315,9206,14,-1,-21,4
-4098,-343,9046,10,13,-25,4
-4158,-468,8956,15,9,-26,4
-4158,-468,8956,15,9,-26,4
-4128,-473,9041,18,-10,-18,4
-4156,-412,9108,19,-23,0,4
-4170,-315,9182,17,-25,10,4
-4153,-278,9177,14,-21,10,4
-4157,-329,9214,18,-8,9,4
-4205,-342,9253,28,-9,6,4
-4175,-397,9371,29,-21,5,4
-4089,-446,9461,26,-17,10,4
-4102,-477,9355,27,9,24,4
-4102,-477,9355,27,9,24,4
-4126,-416,9187,30,23,35,4
-4198,-355,9054,32,20,42,4
-4164,-279,9012,35,1,45,4
-4170,-252,9044,36,-7,40,4
-4193,-145,9146,28,-9,32,4
-4252,-156,9145,12,-9,22,4
-4205,-186,9058,0,-9,10,4
-4124,-309,8897,-3,-17,4,4
-4084,-422,8991,-4,-34,10,4
-4084,-422,8991,-4,-42,20,4
-4078,-482,9128,1,-42,20,4
-4115,-394,9213,10,-23,28,4
-4095,-327,9225,20,4,29,4
-4152,-333,9193,24,21,19,4
-4189,-409,9116,25,32,13,4
-4238,-278,9141,33,62,30,4
-4216,-385,9310,9,50,4,4
-4216,-385,9310,9,50,4,4
-4272,-373,9369,8,58,17,4
-4265,-317,9238,3,83,28,4
-4375,-275,9023,-2,91,28,4
-4326,-203,9012,-11,72,17,4
-4358,-227,9036,-25,56,6,4
-4358,-227,9036,-36,52,-3,4
-4287,-334,9059,-36,52,-3,4
-4274,-434,9092,-42,64,-1,4
-4244,-454,9109,-33,80,5,4
-4323,-375,9093,-20,92,13,4
-4320,-333,8941,-8,106,14,4
-4436,-290,8839,-9,95,10,4
-4346,-323,8833,-10,61,0,4
-4244,-397,8897,-7,37,0,4
-4331,-381,8897,-4,26,10,4
-4353,-297,8994,-9,7,18,4
-4353,-297,8994,-9,7,18,4
-4303,-301,9073,-20,-1,16,4
-4302,-324,9140,-21,5,17,4
-4308,-294,9029,-15,20,20,4
-4334,-324,8995,-6,37,22,4
-4336,-269,8938,-1,43,21,4
-4363,-308,8904,-1,33,15,4
-4359,-373,8951,-4,26,14,4
-4369,-354,8979,-6,25,23,4
-4448,-287,8995,-9,26,20,4
-4424,-267,8959,-14,23,13,4
-4424,-267,8959,-14,23,13,4
-4474,-291,8973,-20,15,2,4
-4448,-317,9081,-25,-4,-1,4
-4365,-443,9144,-30,-4,-3,4
-4443,-387,9190,-28,10,4,4
-4493,-289,9273,-26,28,5,4
-4474,-263,9238,-28,54,-7,4
-4529,-238,9195,-27,70,-25,4
-4453,-433,9169,-20,67,-41,4
-4453,-433,9169,-20,67,-41,4
-4476,-581,9244,3,69,-32,4
-4415,-581,9355,22,76,-11,4
-4378,-591,9505,37,81,14,4
-4423,-537,9615,48,104,37,4
-4552,-352,9749,63,135,42,4
-4565,-148,10009,76,164,28,4
-4655,39,10144,64,226,-1,4
-4736,89,10174,41,296,-37,4
-4786,-72,10193,12,353,-80,4
-4786,-72,10193,12,353,-80,4
-4767,-264,9962,-16,373,-104,4
-4753,-461,9793,-20,364,-115,4
-4613,-535,9833,-1,364,-103,4
-4670,-386,9938,21,401,-86,4
-4766,-254,10078,41,455,-95,4
-4852,-196,10039,56,536,-122,4
-4828,-285,9869,76,620,-150,4
-4792,-150,10001,108,706,-167,4
-4904,-9,10022,135,808,-194,4
-4904,-9,10022,135,808,-194,4
-5028,133,10298,155,925,-239,4
-5113,71,10151,147,1057,-299,4
-4954,-398,9645,142,1179,-333,4
-4862,-1020,8994,149,1249,-290,4
-4849,-1128,8870,180,1265,-191,4
-5089,-419,9653,205,1330,-109,4
-5441,-78,9397,141,1483,-96,4
-5619,-366,8488,42,1613,-127,4
-5398,-809,7598,-29,1660,-127,4
-5398,-809,7598,-29,1660,-64,4
-5387,-1161,6489,-22,1645,-64,4
-5558,-1277,6069,52,1579,23,4
-5682,-831,6220,145,1522,106,4
-6035,184,6656,196,1529,116,4
-6180,833,6532,170,1594,45,4
-6168,540,5723,142,1694,-81,4
-6046,-288,4226,187,1745,-172,4
-6011,-920,2831,291,1648,-172,4
-6149,-1085,2037,397,1397,-107,4
-6149,-1085,2037,465,1057,-44,4
-6340,-841,1800,465,1057,-44,4
-6595,-296,1907,458,690,-26,4
-6698,58,2311,364,323,-67,4
-6665,151,2483,179,-39,-136,4
-6777,-102,2220,-34,-406,-199,4
-6593,-679,1606,-224,-788,-250,4
-5538,-1792,-278,-203,-1112,-251,4
-5010,-1995,-2858,47,-1540,-87,4
-5105,-1525,-4642,369,-2355,162,4
-5105,-1525,-4642,733,-3547,361,4
-4478,-1448,-5184,733,-3547,361,4
-3022,-1660,-3761,1092,-4805,496,4
-2105,-1238,777,1309,-6032,643,4
-870,-263,8693,1131,-7026,769,4
-148,119,18987,433,-7100,861,4
242,-9,23279,-504,-5815,948,4
-684,543,21791,-1314,-3866,1088,4
-1667,729,17534,-1806,-2490,1138,4
-1990,343,14896,-1844,-1951,1130,4
-1990,343,15328,-1390,-1716,1028,4
-2577,187,15328,-1390,-1716,1028,4
-2770,41,16514,-613,-1413,791,4
-2617,82,17156,236,-938,514,4
-2403,138,17638,897,-361,318,4
-2525,392,17827,1202,163,202,4
-3296,926,18441,1284,592,132,4
-4149,1509,18923,1176,1006,-22,4
-4073,1603,18911,957,1485,-244,4
-2573,406,12766,-50,2818,-387,4
-3702,183,8002,-353,3094,-416,4
-3702,183,8002,-353,3094,-416,4
-3665,-556,6961,-115,3221,-361,4
-3913,-972,5692,128,3258,-243,4
-4219,-984,4565,365,3196,-128,4
-4219,-984,4565,365,3196,-128,4
-4536,-500,3805,545,3070,-40,4
-4930,-39,2870,645,2889,7,4
-5402,387,1868,686,2618,1,4
-5794,890,1166,669,2240,-74,4
-5933,854,473,602,1831,-186,4
-5891,707,-132,513,1421,-296,4
-5974,488,-466,395,971,-370,4
-5933,253,-524,239,477,-405,4
-5881,105,-236,64,-21,-413,4
-5881,105,-236,64,-21,-413,4
-5919,-348,-573,-96,-501,-392,4
-5825,-1123,-1373,-193,-1033,-326,4
-4919,-1667,-3087,-172,-1642,-200,4
-4384,-1318,-4813,-76,-2481,29,4
-3737,-704,-5385,-97,-3702,269,4
-3016,-640,-3543,-317,-5280,364,4
