-3547,-399,9260,10,7,6,3
-3668,-167,9227,25,12,26,3
-3644,11,9329,23,7,31,3
-3735,110,9311,10,7,20,3
-3749,68,9249,1,4,2,3
-3808,-3,9229,-4,-5,-16,3
-3808,-3,9229,-4,-5,-16,3
-3725,-2,9238,-10,-10,-38,3
-3687,-118,9288,-16,-13,-59,3
-3627,-259,9345,-16,-20,-75,3
-3525,-465,9442,-13,-17,-83,3
-3402,-667,9531,0,-5,-72,3
-3389,-686,9586,10,10,-47,3
-3400,-649,9455,14,32,-18,3
-3416,-604,9266,15,50,3,3
-3475,-486,9087,20,49,20,3
-3475,-486,9087,20,49,20,3
-3536,-387,9019,30,39,31,3
-3615,-192,9007,37,27,32,3
-3724,32,8956,25,3,28,3
-3638,34,9072,-7,-32,7,3
-3574,-58,9182,-27,-51,-12,3
-3559,-154,9266,-25,-54,-22,3
-3489,-214,9462,-18,-58,-21,3
-3431,-272,9595,-18,-53,-14,3
-3469,-276,9613,-27,-40,-6,3
-3469,-276,9613,-27,-40,-6,3
-3449,-362,9550,-40,-33,4,3
-3451,-369,9452,-48,-31,18,3
-3422,-368,9373,-32,-29,40,3
-3540,-161,9436,-10,-32,59,3
-3633,99,9510,0,-27,58,3
-3656,161,9486,-3,-19,44,3
-3645,102,9401,0,-17,29,3
-3580,100,9455,9,-20,26,3
-3578,184,9608,8,-30,25,3
-3578,184,9608,8,-31,15,3
-3538,187,9718,-1,-31,15,3
-3613,282,9720,-15,-10,-3,3
-3509,126,9455,-16,0,-14,3
-3571,94,9412,-9,-7,-15,3
-3601,119,9239,7,3,-25,3
-3628,80,9139,17,2,-37,3
-3608,28,9111,14,-15,-47,3
-3589,-68,9233,7,-31,-52,3
-3625,-86,9279,12,-33,-52,3
-3625,-86,9279,21,-28,-54,3
-3637,-50,9292,21,-28,-54,3
-3577,-21,9437,23,-31,-70,3
-3537,-126,9574,12,-35,-83,3
-3585,-189,9633,3,-39,-84,3
-3552,-271,9674,-1,-24,-84,3
-3543,-293,9492,3,-2,-80,3
-3560,-336,9372,7,4,-70,3
-3543,-323,9235,12,4,-57,3
-3605,-240,9184,20,7,-43,3
-3605,-240,9184,31,6,-37,3
-3668,-59,9255,31,6,-37,3
-3750,184,9241,30,4,-51,3
-3781,272,9253,19,-14,-89,3
-3763,218,9400,3,-39,-132,3
-3664,37,9579,-4,-40,-162,3
-3589,-228,9597,1,-12,-172,3
-3521,-443,9611,15,9,-157,3
-3482,-535,9525,22,20,-124,3
-3536,-519,9507,20,25,-87,3
-3573,-435,9425,10,23,-54,3
-3573,-435,9425,10,23,-54,3
-3595,-369,9491,7,25,-39,3
-3649,-248,9391,15,37,-28,3
-3712,1,9438,20,39,-29,3
