-4241,-15,9133,53,18,41,7
-4241,-76,9079,17,-4,-14,7
-4119,-336,9206,-25,-31,-58,7
-4010,-620,9138,-47,-39,-76,7
-3911,-808,9150,-52,-37,-67,7
-3938,-914,9176,-41,-36,-42,7
-3988,-873,9187,-31,-39,-24,7
-3996,-845,9253,-31,-39,-15,7
-4011,-869,9267,-28,-25,-14,7
-4011,-869,9267,-28,-25,-14,7
-3889,-897,9168,-30,-9,0,7
-4017,-856,9099,-24,-9,0,7
-4061,-826,9151,-15,-23,2,7
-4051,-811,9290,-13,-25,0,7
-4024,-886,9308,-12,-18,0,7
-3955,-966,9237,-10,-4,6,7
-3895,-942,9172,3,10,28,7
-3913,-886,9180,28,20,50,7
-3991,-703,9190,41,26,65,7
-3991,-703,9190,41,26,65,7
-4043,-531,9135,36,26,63,7
-4004,-508,9117,16,21,43,7
-3949,-579,9107,3,9,29,7
-3956,-602,9141,1,-4,23,7
-3921,-563,9160,6,-12,21,7
-3914,-537,9145,11,-9,21,7
-3875,-579,9071,7,-8,26,7
-3952,-534,8988,4,-16,32,7
-3936,-513,8970,1,-32,26,7
-3936,-513,8970,1,-42,21,7
-3862,-539,9065,-6,-42,21,7
-3901,-618,9043,-11,-48,20,7
-3851,-711,9086,-6,-61,24,7
-3834,-746,9138,8,-58,36,7
-3911,-659,9126,25,-50,50,7
-3954,-524,9114,28,-48,49,7
-4007,-440,9050,21,-61,32,7
-3996,-470,9066,12,-86,7,7
-3895,-619,9194,6,-101,-11,7
-3895,-619,9194,2,-98,-8,7
-3814,-714,9278,2,-98,-8,7
-3779,-745,9388,0,-86,6,7
-3844,-691,9439,-1,-73,33,7
-3864,-550,9385,-1,-56,53,7
-3943,-485,9202,7,-43,61,7
-3986,-355,9140,21,-39,54,7
-3988,-277,9232,33,-35,33,7
-4083,-321,9184,28,-34,3,7
-4057,-440,9056,0,-64,-28,7
-4057,-440,9056,-32,-119,-30,7
-3878,-650,9165,-32,-119,-30,7
-3856,-772,9327,-50,-133,-20,7
-3823,-853,9333,-42,-115,0,7
-3863,-812,9334,-32,-97,29,7
-3846,-746,9381,-10,-82,47,7
-3857,-636,9366,0,-63,53,7
-3901,-593,9266,8,-52,52,7
-3887,-606,9315,15,-37,53,7
-3839,-608,9315,24,-6,53,7
-3905,-585,9109,31,23,50,7
-3905,-585,9109,31,23,50,7
-3956,-551,8967,42,23,30,7
-3920,-555,9140,44,-22,15,7
-3811,-583,9330,34,-50,18,7
-3851,-643,9354,18,-44,24,7
-3840,-634,9244,4,-34,43,7
-3897,-546,9077,-10,-48,59,7
-3986,-361,8981,-20,-91,60,7
-4084,-564,8874,-37,-142,50,7
-3808,-465,9056,-42,-185,44,7
-3808,-465,9056,-42,-185,44,7
-3869,-415,9232,-42,-193,30,7
-3870,-463,9335,-35,-187,18,7
-3737,-555,9548,-17,-163,-1,7
-3689,-685,9690,3,-114,-1,7
-3690,-597,9741,16,-61,10,7
-3718,-589,9690,16,-4,23,7
-3789,-598,9524,14,42,31,7
-3816,-626,9285,17,60,37,7
-3859,-482,9074,26,54,34,7
-3859,-482,9074,26,54,34,7
-3940,-433,8950,37,32,14,7
-3942,-392,8969,39,3,-18,7
-3921,-530,9062,40,-32,-47,7
-3784,-684,9227,35,-53,-65,7
-3655,-796,9297,25,-49,-53,7
-3658,-763,9358,7,-55,-18,7
-3657,-681,9413,-5,-64,12,7
-3702,-550,9371,0,-45,29,7
-3822,-375,9253,12,-40,23,7
-3822,-375,9253,12,-40,23,7
-3773,-311,9267,15,-43,-2,7
-3713,-419,9098,21,-35,-28,7
-3661,-522,8880,47,-41,-34,7
-3655,-430,8889,82,-60,-21,7
-3833,-190,9005,101,-75,-18,7
-3812,-122,9140,100,-97,-42,7
-3839,-114,9294,75,-106,-69,7
-3772,-275,9302,48,-100,-83,7
-3742,-277,9280,34,-97,-89,7
-3742,-277,9280,34,-97,-89,7
-3774,-308,9261,25,-99,-95,7
-3658,-368,9181,23,-105,-108,7
-3686,-428,9134,43,-108,-114,7
-3645,-403,9151,87,-114,-125,7
-3733,-374,9169,131,-120,-149,7
-3762,-307,9294,154,-140,-167,7
-3756,-308,9236,150,-161,-186,7
-3852,-236,9235,124,-182,-204,7
-3957,-230,9333,100,-197,-231,7
-3957,-230,9333,100,-197,-231,7
-3890,-284,9370,86,-202,-268,7
-3744,-461,9495,61,-204,-298,7
-3474,-563,9522,14,-207,-296,7
-3644,-429,9440,-39,-207,-288,7
-3639,-175,9437,-78,-218,-314,7
-3651,179,9723,-93,-220,-367,7
-3923,507,10034,-104,-186,-456,7
-3907,391,9948,-125,-131,-569,7
-3984,-133,9629,-149,-84,-664,7
-3984,-133,9629,-135,-45,-725,7
-3693,-457,9591,-135,-45,-725,7
-3646,-607,9309,-114,-15,-732,7
-3695,-362,9659,-85,-45,-745,7
-3768,294,10565,-102,-31,-811,7
-3958,906,10935,-191,81,-945,7
-4098,881,10724,-309,223,-1154,7
-3883,221,10414,-415,330,-1345,7
-3683,-573,10522,-482,393,-1439,7
-3692,-1121,10874,-551,459,-1464,7
-3692,-1121,10874,-669,539,-1452,7
-3501,-1657,10868,-669,539,-1452,7
-3500,-2029,10536,-821,623,-1400,7
-3517,-2051,10369,-969,669,-1347,7
-3430,-2015,10369,-1115,704,-1319,7
-3287,-2263,10584,-1243,785,-1296,7
-3233,-2636,11344,-1350,934,-1263,7
-3267,-3238,11343,-1475,1160,-1199,7
-3188,-3735,10423,-1557,1379,-1092,7
-3205,-3566,10024,-1565,1538,-954,7
-3364,-3355,9139,-1558,1599,-838,7
-3364,-3355,9139,-1558,1599,-838,7
-3497,-3600,8514,-1561,1514,-737,7
-3554,-3963,8417,-1519,1368,-621,7
-3805,-4164,8629,-1485,1285,-496,7
-4033,-4719,8614,-1468,1271,-388,7
-3979,-5207,8628,-1449,1310,-264,7
-3930,-5680,8492,-1472,1364,-63,7
