aX,aY,aZ,gX,gY,gZ,target
-6009,40,-50,318,703,-28,4
-6196,226,-16,175,194,14,4
-6241,-74,-678,-15,-278,17,4
-5432,-1068,-3414,-145,-787,34,4
-5424,-975,-6327,-67,-1435,130,4
-5424,-975,-6327,-67,-1435,130,4
-5203,-453,-9069,119,-2368,219,4
-3909,-582,-11540,-6,-3871,249,4
-1244,-801,-7639,168,-5762,340,4
744,-1776,-3491,20,-7775,630,4
2824,-3567,5754,-315,-9640,1084,4
5332,-2423,17644,-266,-10395,1551,4
3999,1200,-32444,-613,-9305,1811,4
1659,5083,-29114,-1488,-5935,1797,4
-1555,7069,29064,-2358,-2427,1414,4
-1555,7069,29064,-2358,-2427,1414,4
-2683,3791,18440,-2623,-608,585,4
-977,-973,12476,-2020,-156,21,4
-1524,-3607,13080,-827,-366,-91,4
-1860,-3978,14584,612,-505,17,4
-1763,-1606,15851,1629,-320,127,4
-2433,259,14837,1981,148,177,4
-3220,1694,13630,1874,491,135,4
-3163,1458,12896,923,714,-119,4
-3163,1458,12896,923,714,-119,4
-2784,821,11131,523,771,-188,4
-2439,546,9136,301,767,-191,4
-2160,190,8288,130,652,-111,4
-2427,156,8683,-21,487,34,4
-2547,467,9047,-124,364,142,4
-2630,697,8971,-175,283,192,4
-2626,1274,9162,-180,250,212,4
-2870,1765,9560,-183,296,179,4
-3042,1990,10080,-220,389,69,4
-3042,1990,10080,-220,389,69,4
-3069,1775,10380,-301,468,-80,4
-2809,1389,10453,-426,535,-210,4
-2377,738,10226,-588,620,-265,4
-2280,214,9328,-743,709,-234,4
-2458,-26,8371,-847,678,-158,4
-2671,8,7830,-888,506,-72,4
-2973,-34,7904,-855,288,-15,4
-3028,-20,8404,-737,149,4,4
-3127,-15,8809,-582,127,6,4
-3127,-15,8809,-411,165,-3,4
-3200,-10,8970,-411,165,-3,4
-3248,14,9287,-247,232,-31,4
-3347,63,9419,-137,301,-76,4
-3233,123,9489,-84,339,-127,4
-3251,17,9477,-59,383,-174,4
-3226,-184,9174,-70,421,-211,4
-3152,-562,8849,-119,373,-210,4
-6500,-193,2840,-202,1433,27,4
-6500,-193,2246,-218,1196,12,4
-6802,-83,2246,-218,1196,12,4
-6893,69,2076,-175,940,-37,4
-7028,145,1914,-93,681,-94,4
-7178,181,1820,-3,417,-164,4
-7110,135,1921,41,127,-244,4
-7042,-241,1891,22,-184,-303,4
-7133,-669,1289,-32,-511,-322,4
-7088,-1026,-211,-62,-905,-324,4
-6003,-1444,-3192,62,-1418,-291,4
-6108,-1018,-6111,514,-2034,-218,4
-6108,-1018,-6111,514,-2034,-218,4
-5545,-568,-7820,1025,-2970,-180,4
-3253,-924,-8042,1422,-4275,-147,4
-1232,-1348,-4955,1629,-5944,78,4
299,-1674,-1357,1497,-7566,478,4
1971,-2859,5105,1182,-8827,796,4
3655,-3621,13497,867,-9177,1160,4
3665,-2998,22930,518,-8310,1475,4
4055,614,30257,-67,-6266,1790,4
1006,4902,29462,-1001,-3689,1934,4
1006,4902,29462,-1001,-3689,1934,4
-1983,6975,23112,-1866,-1733,1624,4
-3333,4926,16246,-2113,-763,906,4
-2846,1485,13442,-1553,-524,180,4
-1970,-1386,14597,-436,-565,-244,4
-1496,-2193,16899,643,-470,-307,4
-1923,-1015,18710,1267,-69,-196,4
-2469,233,19527,1364,554,-125,4
-2846,1103,18993,1095,1247,-98,4
-3227,1678,17931,627,1788,-170,4
-3227,1678,17931,627,1788,-170,4
-2822,1487,16085,70,2116,-285,4
-2506,1148,13697,-368,2286,-342,4
-2340,819,11979,-649,2308,-328,4
-2266,971,11580,-777,2350,-265,4
-2798,1581,11206,-815,2489,-222,4
-3537,1574,10345,-780,2599,-273,4
-3748,933,9939,-635,2638,-365,4
-3567,177,9381,-398,2728,-412,4
-3348,-642,8583,-113,2891,-379,4
-3348,-642,8583,-113,2891,-379,4
-3510,-1019,7795,169,3033,-274,4
-3485,-754,7674,400,3107,-142,4
-3980,8,7771,534,3155,-65,4
-4345,318,7366,528,3214,-77,4
-4724,-157,6037,318,3307,-155,4
-5091,-362,4753,146,3214,-157,4
-5443,-217,3550,-50,2932,-145,4
-5871,56,2457,-257,2517,-130,4
-5871,56,2457,-257,2517,-130,4
-6124,532,1763,-398,2050,-155,4
-6342,656,1137,-441,1613,-218,4
-6361,519,731,-362,1215,-290,4
-6329,260,340,-199,859,-353,4
-6290,-130,284,-12,526,-394,4
-6223,-472,294,144,199,-386,4
-6258,-592,100,220,-133,-347,4
-6313,-946,-1006,210,-507,-313,4
-5577,-1613,-3195,181,-1020,-257,4
-5577,-1613,-3195,181,-1690,-86,4
-5070,-1909,-6177,282,-1690,-86,4
-4780,-1197,-8778,446,-2734,109,4
-3908,-827,-8534,406,-4364,231,4
-1389,-1186,-5745,133,-6427,324,4
1691,-2025,-1831,-238,-8394,555,4
4399,-4033,5249,-442,-9887,888,4
4997,-4618,16403,-293,-10147,1306,4
4780,-2051,31290,-182,-8780,1549,4
2872,2250,-29259,-551,-5913,1733,4
2872,2250,-29259,-1140,-2467,1519,4
-250,4802,29327,-1140,-2467,1519,4
-2334,3828,18734,-1412,-500,817,4
-1385,154,12711,-1007,-147,229,4
-1837,-2370,13433,-4,-429,-33,4
-1609,-3078,15716,1106,-487,-98,4
-1530,-1503,16264,1908,-155,-69,4
-2048,133,15146,2165,296,8,4
-2821,1197,14057,1924,567,50,4
-2821,1391,13564,1380,653,64,4
-2821,1391,13564,789,670,76,4
-2830,1418,12849,789,670,76,4
-3087,1276,11240,346,670,42,4
-2683,955,9509,52,605,3,4
-2645,860,9280,-155,489,23,4
-2315,356,8633,-363,405,127,4
-2569,501,8589,-299,307,174,4
-2507,807,8999,-163,252,174,4
-2507,1229,9488,-55,313,132,4
-2672,1472,9943,-40,415,51,4
-2672,1472,9943,-40,415,51,4
-2752,1311,10289,-111,495,-51,4
-2519,970,10424,-229,574,-139,4
-2321,569,10183,-361,681,-188,4
-2255,239,9558,-491,758,-181,4
-2305,61,9014,-614,737,-147,4
-2275,-181,8606,-707,622,-85,4
-2347,-305,8513,-726,487,4,4
-2555,-270,8571,-664,405,99,4
-2895,-90,8769,-544,386,166,4
-2895,-90,8769,-544,386,166,4
-3152,120,8861,-404,391,176,4
-3279,259,8921,-273,406,149,4
-5673,-1313,5219,-37,1943,-3,4
-5967,-1232,4861,-56,1786,101,4
-6216,-771,4537,-69,1640,176,4
-6368,-504,3881,-95,1481,208,4
-6594,-373,3286,-72,1291,194,4
-6638,-227,2903,-28,1087,164,4
-6826,-96,2654,38,863,118,4
-6918,52,2490,89,620,50,4
-6897,20,2323,98,354,-15,4
-6838,-93,1825,55,76,-69,4
-6838,-93,1825,55,76,-69,4
-6903,-415,979,17,-231,-103,4
-6837,-461,-27,4,-604,-125,4
-6488,-702,-1268,42,-1082,-143,4
-5651,-782,-3349,238,-1601,-131,4
-5203,-591,-5435,588,-2232,-75,4
-4418,-647,-6300,902,-3217,-6,4
-3159,-510,-4790,1043,-4516,67,4
-1342,-855,-2420,1029,-5971,193,4
-99,-868,1007,838,-7281,398,4
-99,-868,1007,838,-7281,398,4
1312,-1580,6985,603,-8223,578,4
2443,-2104,16340,341,-8343,753,4
2330,-1154,24503,-17,-7234,920,4
1625,951,28770,-536,-5117,1106,4
-793,3219,25371,-981,-2870,1128,4
-2904,3509,19482,-1244,-1464,748,4
-2311,1134,15724,-1033,-922,222,4
-1464,-1111,15034,-229,-753,-88,4
-1409,-1822,16505,783,-587,-168,4
-1409,-1822,16505,783,-587,-168,4
-1463,-1191,17992,1533,-251,-149,4
-1654,-454,18711,1857,270,-81,4
-2551,265,18928,1750,838,4,4
-2652,915,18445,1332,1363,47,4
-2909,1596,17507,813,1814,50,4
-2947,2252,15999,211,2165,-51,4
-2696,2191,14015,-301,2434,-183,4
-2335,1625,12192,-657,2626,-263,4
-2335,961,10744,-824,2730,-266,4
-2335,961,10744,-813,2709,-214,4
-2709,538,9521,-813,2709,-214,4
-3202,564,9415,-682,2580,-160,4
-3649,878,9974,-494,2492,-136,4
-3866,1149,10201,-304,2613,-185,4
-3911,781,9389,-124,2858,-271,4
-3631,281,8529,58,3064,-318,4
-3578,-234,7704,207,3158,-281,4
-3830,-362,7010,297,3177,-199,4
-4067,145,6656,283,3172,-133,4
-4067,145,6656,144,3139,-103,4
-4348,349,6161,144,3139,-103,4
-4721,401,5340,-29,3072,-112,4
-5038,206,4119,-175,2932,-124,4
-5438,285,3123,-272,2715,-132,4
-5785,227,2015,-327,2420,-160,4
-5793,47,1184,-329,2057,-189,4
-5771,-178,453,-250,1702,-190,4
-5764,-141,-190,-106,1367,-166,4
-5921,20,-719,60,1000,-136,4
-5921,20,-719,224,598,-123,4
-5927,-19,-2567,370,-280,-183,4
-5927,-19,-2567,370,-280,-183,4
-5469,-597,-5989,408,-867,-160,4
-5954,-29,-8690,518,-1753,-82,4
-5111,-19,-9582,455,-2947,-37,4
-7293,-2827,27726,-6110,-4958,89,4
-190,-1369,-3280,-1903,-7005,33,4
3232,-3205,1038,-32,-8639,303,4
