-3848,-693,9369,62,-18,65,1
-3864,-594,9414,70,0,68,1
-4004,-463,9285,65,10,59,1
-3969,-423,9164,58,9,35,1
-3933,-461,9120,48,-4,10,1
-3979,-585,9120,42,-15,-9,1
-3979,-585,9120,42,-15,-9,1
-3979,-660,9110,39,-31,-27,1
-3878,-731,9232,37,-44,-34,1
-3896,-815,9249,39,-45,-30,1
-3911,-824,9302,40,-41,-25,1
-3875,-832,9312,39,-37,-17,1
-3875,-782,9281,39,-34,-6,1
-3879,-719,9233,36,-32,-6,1
-3850,-732,9181,35,-32,-6,1
-3805,-824,9170,41,-34,-3,1
-3805,-824,9170,41,-34,-3,1
-3812,-842,9132,53,-30,4,1
-3835,-818,9115,62,-26,18,1
-3894,-710,9096,68,-35,31,1
-3917,-607,9052,67,-41,36,1
-3924,-528,9065,65,-50,31,1
-3899,-574,9024,68,-53,23,1
-3915,-631,9036,75,-54,21,1
-3884,-655,9132,81,-62,23,1
-3925,-661,9200,80,-65,27,1
-3925,-661,9200,80,-65,27,1
-3946,-674,9291,73,-62,29,1
-3948,-675,9343,72,-51,31,1
-3915,-692,9461,72,-44,33,1
-3918,-626,9461,72,-35,39,1
-3907,-612,9488,64,-38,40,1
-3852,-577,9556,47,-40,43,1
-3766,-526,9467,36,-33,50,1
-3817,-507,9391,37,-21,56,1
-3792,-357,9259,42,-22,60,1
-3792,-357,9259,42,-22,60,1
-3812,-288,9163,45,-31,58,1
-3872,-232,9102,48,-40,52,1
-3869,-211,9102,53,-51,43,1
-3845,-233,9030,59,-56,35,1
-3889,-272,9032,62,-51,28,1
-3870,-296,9068,66,-54,21,1
-3911,-312,9062,70,-55,12,1
-3827,-294,9054,78,-55,3,1
-3871,-387,9050,87,-53,-9,1
-3871,-387,9050,87,-53,-9,1
-3901,-367,9084,96,-53,-24,1
-3883,-440,9105,93,-56,-39,1
-3826,-533,9101,84,-63,-51,1
-3822,-655,9144,68,-73,-56,1
-3805,-769,9101,54,-75,-52,1
-3804,-867,9077,42,-69,-42,1
-3790,-902,9071,39,-62,-30,1
-3865,-866,9074,41,-56,-12,1
-3875,-865,9101,43,-59,-5,1
-3875,-865,9101,43,-59,-2,1
-3863,-809,9221,42,-60,-2,1
-3856,-735,9335,39,-55,0,1
-3814,-738,9442,29,-54,-3,1
-3784,-801,9536,21,-56,-5,1
-3684,-815,9596,-3,-48,0,1
-3707,-876,9554,-23,-39,18,1
-3647,-815,9463,-43,-39,40,1
-3667,-732,9389,-52,-40,63,1
-3705,-582,9248,-52,-40,76,1
-3705,-582,9248,-53,-54,74,1
-3774,-479,9177,-53,-54,74,1
-3754,-412,9148,-58,-69,68,1
-3789,-417,9193,-62,-95,62,1
-3780,-434,9292,-56,-116,58,1
-3686,-412,9395,-40,-114,63,1
-3732,-303,9480,-28,-100,77,1
-3753,-211,9578,-18,-82,78,1
-3754,-220,9615,-14,-63,75,1
-3742,-168,9610,-7,-42,71,1
-3742,-168,9610,-2,-27,61,1
-3786,-151,9540,-2,-27,61,1
-3761,-168,9531,-3,-22,49,1
-3701,-229,9488,-9,-17,37,1
-3704,-293,9443,-18,-16,28,1
-3590,-392,9284,-35,-16,18,1
-3682,-465,9120,-51,-22,20,1
-3646,-551,9032,-55,-35,18,1
-3616,-594,9046,-49,-43,19,1
-3616,-574,8988,-34,-45,20,1
-3619,-570,8969,-15,-59,25,1
-3619,-570,8969,-15,-59,25,1
-3716,-558,9068,17,-91,20,1
-3615,-482,9251,22,-113,26,1
-3656,-375,9327,22,-115,25,1
-3620,-434,9311,7,-113,24,1
-3767,-403,9426,0,-105,26,1
-3621,-342,9523,-8,-80,14,1
-3675,-384,9281,-12,-72,4,1
-3619,-466,9427,-18,-51,-11,1
-3615,-476,9345,-20,-37,-11,1
-3510,-496,9341,-18,-49,-5,1
-3410,-569,9371,-11,-38,3,1
-3364,-569,9322,6,-20,15,1
-3364,-569,9322,6,-20,15,1
-3202,-535,9294,12,-18,30,1
-3483,-631,9268,23,-30,43,1
-3236,-557,9511,21,-28,53,1
-3343,-563,9270,12,-9,67,1
-3428,-531,9032,8,-3,89,1
-3537,-434,8897,14,-14,105,1
-3662,-222,8914,24,-28,103,1
-3616,-112,8998,22,-59,76,1
-3672,-179,9171,1,-89,52,1
-3672,-179,9171,1,-89,52,1
-3689,-339,9334,-11,-101,28,1
-3667,-427,9517,-8,-87,19,1
-3641,-401,9568,3,-58,19,1
-3742,-458,9498,6,-32,18,1
-3839,-491,9463,2,-26,10,1
-3806,-525,9515,-2,-29,0,1
-3780,-629,9531,-6,-25,-3,1
-3832,-677,9589,-9,-14,-1,1
-3830,-719,9531,-12,1,1,1
-3830,-719,9531,-12,1,1,1
-3833,-732,9504,-15,17,7,1
-3878,-677,9403,-12,29,14,1
-3911,-571,9336,-7,23,13,1
-3870,-612,9382,-7,14,3,1
-3850,-669,9327,-4,21,-1,1
-3824,-759,9292,-1,37,0,1
-3796,-738,9190,-2,40,6,1
-3785,-807,9195,-10,29,16,1
-3717,-866,9199,-18,17,32,1
-3717,-866,9199,-18,17,32,1
-3671,-798,9297,-9,8,46,1
-3690,-740,9391,1,14,56,1
-3692,-634,9475,10,21,59,1
-3664,-642,9503,1,27,54,1
-3644,-662,9420,-16,34,56,1
-3710,-681,9265,-37,34,61,1
-3722,-597,9087,-50,26,71,1
-3763,-472,9034,-55,10,73,1
-3839,-411,9065,-42,-7,62,1
-3839,-411,9065,-42,-20,41,1
-3755,-448,9239,-25,-20,41,1
-3690,-496,9364,-12,-14,29,1
-3614,-543,9424,-7,-5,27,1
-3605,-576,9503,-9,-1,36,1
-3571,-575,9451,-20,7,46,1
-3601,-568,9436,-30,18,56,1
-3639,-577,9294,-34,29,62,1
-3628,-537,9172,-22,35,69,1
-3650,-527,9136,-6,40,81,1
-3650,-527,9136,12,45,86,1
-3723,-394,9081,-3,-29,36,1
-3723,-394,9081,-3,-29,36,1
-3693,-458,9141,0,-43,27,1
-3646,-547,9193,6,-43,26,1
-3641,-495,9260,15,-38,29,1
-3671,-447,9300,21,-37,30,1
-3658,-448,9433,18,-39,25,1
-3658,-448,9433,18,-39,25,1
-3598,-522,9498,14,-36,18,1
-3588,-575,9522,15,-18,20,1
-3568,-635,9419,17,0,31,1
-3619,-608,9269,15,17,48,1
-3634,-543,9151,18,26,70,1
-3704,-435,9071,26,33,83,1
-3742,-302,9006,23,47,95,1
-4135,-128,8841,29,25,62,1
-3851,-232,9074,32,-25,5,1
-3851,-232,9074,29,-39,-17,1
-3766,-483,9224,29,-39,-17,1
-3683,-634,9263,33,-37,-18,1
-3686,-659,9381,44,-39,-6,1
-3680,-660,9488,42,-36,7,1
-3672,-628,9494,34,-21,18,1
-3698,-619,9455,28,-4,25,1
-3705,-562,9432,33,9,32,1
-3943,-580,9471,72,46,37,1
-3546,-460,9507,84,90,40,1
-3546,-460,9507,84,90,40,1
-3805,-545,9171,74,90,48,1
-3808,-453,9154,58,65,55,1
-3848,-461,9274,53,53,50,1
-3888,-380,9157,55,71,37,1
-3908,-348,9134,69,81,17,1
-3663,-503,9092,85,67,7,1
-3931,-461,9495,127,83,1,1
-3760,-498,9501,142,117,2,1
-3804,-601,9560,147,133,19,1
-3804,-601,9560,147,133,19,1
-3821,-544,9675,155,161,42,1
-3883,-507,9662,148,209,56,1
-3927,-394,9503,138,238,72,1
-4029,-245,9418,121,237,75,1
-4082,-210,9328,106,218,69,1
-4048,-227,9340,97,201,60,1
-4103,-220,9342,96,191,53,1
-4104,-143,9273,96,184,42,1
-4088,-111,9225,88,168,32,1
-4088,-111,9225,88,168,32,1
-4067,-183,9220,73,155,21,1
-4016,-244,9141,59,141,15,1
-3930,-262,9074,47,114,22,1
-4057,-233,9081,44,81,28,1
-4061,-177,9162,43,51,22,1
-4078,-147,9257,33,22,2,1
-3943,-234,9309,6,1,-10,1
-3925,-330,9247,-14,-12,-7,1
-3872,-343,9235,-17,-20,3,1
-3872,-343,9235,-17,-20,3,1
-3856,-275,9269,-14,-17,16,1
-3897,-175,9248,-17,-13,23,1
-3920,-114,9186,-28,-13,25,1
-3866,-90,9122,-42,-11,20,1
-3909,-102,9040,-48,-10,21,1
-3885,-34,9012,-44,-9,22,1
-3966,-7,9028,-32,-7,21,1
-3933,-66,9001,-20,-7,9,1
-3914,-190,8997,-4,2,4,1
-3914,-190,8997,-4,2,4,1
-3970,-177,8910,6,10,1,1
-3969,-166,8894,8,-3,-1,1
-4000,-145,8927,12,-27,-2,1
-4034,-154,9030,9,-45,-14,1
-4067,-208,9071,10,-60,-31,1
-3994,-278,9141,16,-60,-36,1
-4061,-262,9157,28,-52,-37,1
-4019,-228,9203,32,-49,-37,1
-4110,-256,9257,28,-56,-40,1
-4110,-256,9257,25,-60,-45,1
-4102,-284,9294,25,-60,-45,1
-4153,-302,9215,22,-59,-52,1
-4185,-384,9142,36,-59,-64,1
-4130,-340,9132,61,-65,-78,1
-4070,-281,9163,81,-65,-89,1
-4103,-254,9245,85,-68,-97,1
-4086,-246,9285,78,-72,-103,1
-4019,-217,9366,59,-73,-109,1
-3987,-185,9409,39,-64,-106,1
-3987,-185,9409,21,-51,-104,1
-3970,-238,9399,21,-51,-104,1
-4024,-271,9288,9,-39,-104,1
-3973,-317,9146,14,-31,-105,1
-3917,-357,9056,11,-35,-97,1
-3975,-416,8998,0,-47,-75,1
-4065,-245,8859,-13,-71,-55,1
-4023,-228,8868,-32,-106,-55,1
-4066,-275,8953,-38,-129,-63,1
-4016,-332,8892,-29,-127,-69,1
-4016,-332,9001,-17,-128,-73,1
-4078,-324,9001,-17,-128,-73,1
-4043,-214,9008,-21,-138,-80,1
-4057,-208,9087,-40,-168,-89,1
-4063,-154,9232,-63,-206,-103,1
-3853,-221,9522,-106,-227,-110,1
-3882,-282,9632,-177,-206,-102,1
-3787,-375,9468,-241,-166,-96,1
-3827,-497,9377,-277,-144,-83,1
-3844,-518,9430,-276,-131,-61,1
-3840,-570,9345,-285,-111,-30,1
-3840,-570,9345,-285,-111,-30,1
-3720,-411,9397,-302,-86,-20,1
-3980,-620,9101,-299,-73,-14,1
-3879,-687,9078,-237,-63,-10,1
-3766,-807,9121,-136,-28,-6,1
-3755,-827,9177,-10,23,9,1
-3778,-792,9163,101,67,28,1
-3854,-623,9157,150,80,39,1
-3895,-528,9187,141,55,43,1
-3848,-525,9284,95,13,45,1
-3848,-525,9284,95,13,45,1
-3889,-506,9296,51,-5,44,1
-3952,-453,9232,23,-9,38,1
-3961,-401,9104,11,-21,24,1
-3939,-403,9072,9,-40,7,1
-3842,-381,9085,5,-58,4,1
-3918,-399,9096,-2,-72,6,1
-3702,-478,9266,-17,-76,15,1
-4076,-479,9274,-28,-54,29,1
-3769,-464,9089,-5,-45,4,1
-3769,-464,9089,-5,-45,4,1
-3757,-527,9241,0,-39,-4,1
-3862,-515,9103,2,-39,7,1
-3882,-497,8993,6,-58,12,1
-3984,-350,9103,16,-76,-6,1
-3846,-503,9043,20,-80,-36,1
-3850,-563,9066,26,-96,-38,1
-3717,-608,9310,42,-108,-39,1
-3907,-612,9424,70,-87,-30,1
-3646,-512,9363,83,-50,-26,1
-3646,-512,9363,83,-50,-26,1
-3790,-532,9280,77,-37,-12,1
-3815,-467,9201,63,-45,-3,1
-3773,-464,9287,29,-76,-3,1
-3800,-477,9280,1,-94,1,1
-3828,-491,9328,-9,-89,3,1
-3851,-477,9318,-6,-73,-5,1
-3820,-521,9327,5,-61,-13,1
-3769,-558,9332,11,-57,-12,1
-3771,-586,9416,13,-51,-3,1
-3771,-586,9416,13,-51,-3,1
-3726,-593,9396,7,-42,6,1
-3750,-556,9353,-1,-31,15,1
-3745,-573,9336,-6,-19,20,1
-3754,-550,9266,-9,-3,20,1
-3787,-577,9225,-9,11,15,1
-3816,-576,9238,-6,9,12,1
-3774,-602,9254,-10,-1,10,1
